world_half_cm,thickness_nm,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,100.0,1.0,3672.797017,3683.0,-10.202983000000131,-0.27702913385827127,3660.8302605,3671.0,-10.169739500000105,-0.2770291337510244,223.62413575,-3447.37586425,-93.90835914600927,228.59339068
100.0,100.0,1.0,3672.797017,3683.0,-10.202983000000131,-0.27702913385827127,3660.8302605,3671.0,-10.169739500000105,-0.2770291337510244,223.62413575,-3447.37586425,-93.90835914600927,228.59339068
100.0,100.0,10.0,93.876408447,96.91,-3.0335915529999937,-3.1303183912908823,89.158854953,92.04,-2.881145047000004,-3.1303183909169965,3.2291565026,-88.8108434974,-96.49157268296392,3.23016317
50.0,100.0,10.0,93.876408447,96.91,-3.0335915529999937,-3.1303183912908823,89.158854953,92.04,-2.881145047000004,-3.1303183909169965,3.2291565026,-88.8108434974,-96.49157268296392,3.23016317
100.0,100.0,20.0,65.75223221,65.73,0.02223220999999853,0.03382353567624909,56.989269268,56.97,0.01926926800000217,0.03382353519396555,5.1913481736,-51.7786518264,-90.8875756124276,5.1939505963
50.0,100.0,20.0,65.75223221,65.73,0.02223220999999853,0.03382353567624909,56.989269268,56.97,0.01926926800000217,0.03382353519396555,5.1913481736,-51.7786518264,-90.8875756124276,5.1939505963
50.0,100.0,30.0,21.937567524,22.73,-0.7924324760000019,-3.4862845402551774,19.215880748,19.91,-0.6941192520000001,-3.486284540431944,1.308872582,-18.601127418,-93.42605433450528,1.3090379286
100.0,100.0,30.0,21.937567524,22.73,-0.7924324760000019,-3.4862845402551774,19.215880748,19.91,-0.6941192520000001,-3.486284540431944,1.308872582,-18.601127418,-93.42605433450528,1.3090379286
100.0,100.0,40.0,10.217321255,10.67,-0.45267874500000005,-4.242537441424556,8.8479895405,9.24,-0.3920104594999998,-4.2425374404761875,0.64882860751,-8.59117139249,-92.9780453732684,0.64886923534
50.0,100.0,40.0,10.217321255,10.67,-0.45267874500000005,-4.242537441424556,8.8479895405,9.24,-0.3920104594999998,-4.2425374404761875,0.64882860751,-8.59117139249,-92.9780453732684,0.64886923534
100.0,100.0,50.0,5.6766836814,5.949,-0.2723163185999997,-4.577514180534539,4.8188355339,5.05,-0.23116446610000008,-4.577514180198022,0.2515751658,-4.7984248341999995,-95.01831354851484,0.25158127349
50.0,100.0,50.0,5.6766836814,5.949,-0.2723163185999997,-4.577514180534539,4.8188355339,5.05,-0.23116446610000008,-4.577514180198022,0.2515751658,-4.7984248341999995,-95.01831354851484,0.25158127349
100.0,100.0,60.0,3.4985902335,3.713,-0.2144097665000002,-5.774569525989771,2.8927207156,3.07,-0.17727928439999996,-5.774569524429967,0.1745220639,-2.8954779361,-94.31524221824105,0.17452500316
50.0,100.0,60.0,3.4985902335,3.713,-0.2144097665000002,-5.774569525989771,2.8927207156,3.07,-0.17727928439999996,-5.774569524429967,0.1745220639,-2.8954779361,-94.31524221824105,0.17452500316
50.0,100.0,80.0,7.7778555765,7.81,-0.03214442349999924,-0.41158032650447174,2.8671506024,2.879,-0.011849397599999811,-0.4115803265022512,0.09149179728,-2.78750820272,-96.82209804515458,0.091492605067
100.0,100.0,80.0,7.7778555765,7.81,-0.03214442349999924,-0.41158032650447174,2.8671506024,2.879,-0.011849397599999811,-0.4115803265022512,0.09149179728,-2.78750820272,-96.82209804515458,0.091492605067
50.0,100.0,100.0,4.3541606098,4.438,-0.08383939019999964,-1.8891255114916552,2.0603283643,2.1,-0.039671635699999985,-1.8891255095238086,0.053407033679,-2.046592966321,-97.45680792004762,0.053407308929
100.0,100.0,100.0,4.3541606098,4.438,-0.08383939019999964,-1.8891255114916552,2.0603283643,2.1,-0.039671635699999985,-1.8891255095238086,0.053407033679,-2.046592966321,-97.45680792004762,0.053407308929
100.0,100.0,150.0,1.373238957,1.581,-0.20776104299999987,-13.14111593927893,0.81456261473,0.9378,-0.12323738526999994,-13.141115938366385,0.014146151986,-0.923653848014,-98.49155982235018,0.014146171297
50.0,100.0,150.0,1.373238957,1.581,-0.20776104299999987,-13.14111593927893,0.81456261473,0.9378,-0.12323738526999994,-13.141115938366385,0.014146151986,-0.923653848014,-98.49155982235018,0.014146171297
100.0,100.0,200.0,0.75134981097,0.7844,-0.03305018903000001,-4.2134356234064265,0.47059939078,0.4913,-0.02070060922,-4.213435623855078,0.0038991450777,-0.4874008549223,-99.20636167765113,0.0038991465447
50.0,100.0,200.0,0.75134981097,0.7844,-0.03305018903000001,-4.2134356234064265,0.47059939078,0.4913,-0.02070060922,-4.213435623855078,0.0038991450777,-0.4874008549223,-99.20636167765113,0.0038991465447
100.0,100.0,300.0,0.31089015581,0.3238,-0.012909844189999964,-3.9869809110561967,0.18943368666,0.1973,-0.007866313340000014,-3.9869809123162763,0.0015046822107,-0.1957953177893,-99.23736329918906,0.0015046824292
50.0,100.0,300.0,0.31089015581,0.3238,-0.012909844189999964,-3.9869809110561967,0.18943368666,0.1973,-0.007866313340000014,-3.9869809123162763,0.0015046822107,-0.1957953177893,-99.23736329918906,0.0015046824292
100.0,100.0,500.0,0.10362797929,0.1378,-0.03417202071,-24.798273374455732,0.055950084609,0.0744,-0.018449915390999994,-24.798273374999994,1.9827979275e-05,-0.074380172020725,-99.97334949022178,1.982797925e-05
50.0,100.0,500.0,0.10362797929,0.1378,-0.03417202071,-24.798273374455732,0.055950084609,0.0744,-0.018449915390999994,-24.798273374999994,1.9827979275e-05,-0.074380172020725,-99.97334949022178,1.982797925e-05
100.0,100.0,1000.0,0.10362797929,0.06618,0.03744797929,56.58503972499245,0.051297259013,0.03276,0.018537259013000004,56.58503972222224,1.9138601036e-05,-0.032740861398964,-99.94157936191696,1.9138600929e-05
50.0,100.0,1000.0,0.10362797929,0.06618,0.03744797929,56.58503972499245,0.051297259013,0.03276,0.018537259013000004,56.58503972222224,1.9138601036e-05,-0.032740861398964,-99.94157936191696,1.9138600929e-05
100.0,100.0,1500.0,0.025906800519,0.05,-0.024093199481000003,-48.186398962000005,0.012870498498,0.02484,-0.011969501502000001,-48.18639896135266,3.2488773748e-05,-0.024807511226252,-99.86920783515298,3.2488774007e-05
50.0,100.0,1500.0,0.025906800519,0.05,-0.024093199481000003,-48.186398962000005,0.012870498498,0.02484,-0.011969501502000001,-48.18639896135266,3.2488773748e-05,-0.024807511226252,-99.86920783515298,3.2488774007e-05
50.0,100.0,2000.0,0.025906800519,0.04433,-0.018423199481,-41.5592138078051,0.013184241365,0.02256,-0.009375758635,-41.55921380762411,0.00015643782383,-0.02240356217617,-99.30656992983157,0.00015643782591
100.0,100.0,2000.0,0.025906800519,0.04433,-0.018423199481,-41.5592138078051,0.013184241365,0.02256,-0.009375758635,-41.55921380762411,0.00015643782383,-0.02240356217617,-99.30656992983157,0.00015643782591
50.0,100.0,5000.0,0.051813730571,0.04103,0.010783730571000003,26.282550745795767,0.031696920237,0.0251,0.006596920236999999,26.28255074501991,0.0,-0.0251,-100.0,0.0
100.0,100.0,5000.0,0.051813730571,0.04103,0.010783730571000003,26.282550745795767,0.031696920237,0.0251,0.006596920236999999,26.28255074501991,0.0,-0.0251,-100.0,0.0
100.0,100.0,10000.0,0.10362797929,0.04747,0.05615797929000001,118.30204190014749,0.067062387271,0.03072,0.036342387271000004,118.30204189778645,0.0,-0.03072,-100.0,0.0
50.0,100.0,10000.0,0.10362797929,0.04747,0.05615797929000001,118.30204190014749,0.067062387271,0.03072,0.036342387271000004,118.30204189778645,0.0,-0.03072,-100.0,0.0
