run_id,world_half_cm,thickness_nm,density_g_cm3,E_keV,N_injected,N_uncollided,N_trans_total,T_counts,mu_counts_per_mm,mu_counts_cm2_g,mu_calc_per_mm,mu_calc_cm2_g,mu_tr_per_mm,mu_tr_cm2_g,mu_ref_cm2_g,mu_en_ref_cm2_g,delta_mu_percent,delta_mu_en_percent,sigma_T_counts,sigma_mu_counts_cm2_g,mu_en_cpe_per_mm,mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,absorbed_fraction,mu_en_per_mm,mu_en_cm2_g,mu_en_raw_per_mm,mu_en_raw_cm2_g,mu_eff_per_mm,mu_eff_cm2_g,E_trans_unc_keV,E_trans_tot_keV,E_abs_keV,T_energy_tot
0,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,1.0000000000e+00,2.0000000000e+05,9.8442000000e+04,9.8442000000e+04,4.9221000000e-01,7.0884982429e+03,3.6727970170e+03,7.0955433749e+03,3.6764473445e+03,7.0863645094e+03,3.6716914557e+03,3.6830000000e+03,3.6710000000e+03,-2.7702913265e-01,-9.3908359146e+01,1.1178982867e-03,1.1767780220e+01,7.0654024028e+03,3.6608302605e+03,-2.7702913265e-01,4.3159458200e-02,7.0654024028e+03,3.6608302605e+03,4.3159458200e+02,2.2362413575e+02,4.4118524401e+02,2.2859339068e+02,9.8442000000e+04,9.8442000000e+04,8.6318916400e+03,4.9221000000e-01
1,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,1.5800000000e+00,2.0000000000e+05,1.5045100000e+05,1.5045100000e+05,7.5225500000e-01,2.8467991677e+03,1.4750254755e+03,2.8326316048e+03,1.4676847693e+03,2.8263604092e+03,1.4644354452e+03,1.5045782665e+03,1.4935782665e+03,-1.9641910083e+00,-9.4604954741e+01,9.6531708515e-04,6.6488663129e+00,2.8259861654e+03,1.4642415365e+03,-1.9641910083e+00,1.5551790127e-02,2.8259861654e+03,1.4642415365e+03,1.5551790127e+02,8.0579223454e+01,1.5673987799e+02,8.1212372014e+01,2.3771258000e+05,2.3771258000e+05,4.9143656800e+03,7.5225500000e-01
2,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,2.5100000000e+00,2.0000000000e+05,1.2113600000e+05,1.2113600000e+05,6.0568000000e-01,5.0140348519e+03,2.5979455191e+03,5.0406479956e+03,2.6117347127e+03,5.0258994005e+03,2.6040929536e+03,2.6113223250e+03,2.5694643329e+03,-5.1226176747e-01,-9.1909047556e+01,1.0927756805e-03,9.3482534643e+00,4.9336627626e+03,2.5563019495e+03,-5.1226176747e-01,4.0123568486e-02,4.9336627626e+03,2.5563019495e+03,4.0123568486e+02,2.0789413723e+02,4.0950719978e+02,2.1217989626e+02,3.0405136000e+05,3.0405136000e+05,2.0142031380e+04,6.0568000000e-01
3,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,3.9800000000e+00,2.0000000000e+05,1.6594000000e+05,1.6594000000e+05,8.2970000000e-01,1.8669108931e+03,9.6731134358e+02,1.8691109663e+03,9.6845127790e+02,1.8537628259e+03,9.6049887354e+02,9.7531200001e+02,9.5915000001e+02,-8.2031764443e-01,-9.2749201522e+01,8.4052932727e-04,5.2489746108e+00,1.8359741120e+03,9.5128192332e+02,-8.2031764443e-01,1.3422384485e-02,1.8359741120e+03,9.5128192332e+02,1.3422384485e+02,6.9546033601e+01,1.3513278951e+02,7.0016989383e+01,6.6044120000e+05,6.6044120000e+05,1.0684218050e+04,8.2970000000e-01
4,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,6.3100000000e+00,2.0000000000e+05,1.8844800000e+05,1.8844800000e+05,9.4224000000e-01,5.9495259786e+02,3.0826559475e+02,5.9658958724e+02,3.0911377577e+02,5.8539839684e+02,3.0331523152e+02,3.2336050000e+02,3.1513250000e+02,-4.6681351790e+00,-9.4787725749e+01,5.2165018164e-04,2.8685374024e+00,5.7981385959e+02,3.0042168891e+02,-4.6681351790e+00,3.1701350396e-03,5.7981385959e+02,3.0042168891e+02,3.1701350396e+01,1.6425570153e+01,3.1751705627e+01,1.6451660947e+01,1.1891068800e+06,1.1891068800e+06,4.0007104200e+03,9.4224000000e-01
5,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,1.0000000000e+01,2.0000000000e+05,1.9640900000e+05,1.9640900000e+05,9.8204500000e-01,1.8118146830e+02,9.3876408447e+01,1.8357779636e+02,9.5118029200e+01,1.7836413962e+02,9.2416652655e+01,9.6910000000e+01,9.2040000000e+01,-3.1303183912e+00,-9.6491572683e+01,2.9692270017e-04,1.5665876679e+00,1.7207659006e+02,8.9158854953e+01,-3.1303183912e+00,6.2322720500e-04,1.7207659006e+02,8.9158854953e+01,6.2322720500e+00,3.2291565026e+00,6.2342149180e+00,3.2301631700e+00,1.9640900000e+06,1.9640900000e+06,1.2464544100e+03,9.8204500000e-01
6,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,1.5800000000e+01,2.0000000000e+05,1.9532300000e+05,1.9532300000e+05,9.7661500000e-01,2.3662768062e+02,1.2260501587e+02,2.3355054405e+02,1.2101064459e+02,2.2811332547e+02,1.1819343288e+02,1.2719280000e+02,1.0756320000e+02,-3.6069526992e+00,-8.9492454851e+01,3.3792115778e-04,1.7928117302e+00,2.0010905127e+02,1.0368344625e+02,-3.6069526992e+00,2.1813345981e-03,2.0010905127e+02,1.0368344625e+02,2.1813345981e+01,1.1302251804e+01,2.1837171738e+01,1.1314596756e+01,3.0861034000e+06,3.0861034000e+06,6.8930173300e+03,9.7661500000e-01
7,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,2.0000000000e+01,2.0000000000e+05,1.9747800000e+05,1.9747800000e+05,9.8739000000e-01,1.2690180817e+02,6.5752232210e+01,1.2699347677e+02,6.5799728899e+01,1.2276597332e+02,6.3609312599e+01,6.5730000000e+01,5.6970000000e+01,3.3823535210e-02,-9.0887575612e+01,2.4950939762e-04,1.3093051442e+00,1.0998928969e+02,5.6989269268e+01,3.3823535210e-02,1.0019301975e-03,1.0998928969e+02,5.6989269268e+01,1.0019301975e+01,5.1913481736e+00,1.0024324651e+01,5.1939505963e+00,3.9495600000e+06,3.9495600000e+06,4.0077207900e+03,9.8739000000e-01
8,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,2.5100000000e+01,2.0000000000e+05,1.9864200000e+05,1.9864200000e+05,9.9321000000e-01,6.8131569332e+01,3.5301331260e+01,7.0147470205e+01,3.6345839484e+01,6.6962167888e+01,3.4695423776e+01,4.3800000000e+01,3.8069400000e+01,-1.9403353288e+01,-9.2508380553e+01,1.8362864564e-04,9.5794822827e-01,5.9217533460e+01,3.0682659824e+01,-1.9403353288e+01,5.5043881275e-04,5.9217533460e+01,3.0682659824e+01,5.5043881275e+00,2.8520145738e+00,5.5059035981e+00,2.8527997918e+00,4.9859142000e+06,4.9859142000e+06,2.7632028400e+03,9.9321000000e-01
9,5.0000000000e+01,1.0000000000e+02,1.9300000000e+01,2.5500000000e+01,2.0000000000e+05,1.9873800000e+05,1.9873800000e+05,9.9369000000e-01,6.3299921949e+01,3.2797887020e+01,6.7299410957e+01,3.4870161118e+01,6.4178602450e+01,3.3253161891e+01,4.2080000000e+01,3.6587000000e+01,-2.2058253279e+01,-9.3243416626e+01,1.7706190866e-04,9.2324489114e-01,5.5036935464e+01,2.8516546873e+01,-2.2058253279e+01,4.7710201373e-04,5.5036935464e+01,2.8516546873e+01,4.7710201373e+00,2.4720311592e+00,4.7721586310e+00,2.4726210524e+00,5.0678190000e+06,5.0678190000e+06,2.4332202700e+03,9.9369000000e-01
