run_id,world_half_cm,thickness_nm,backing_thickness_um,density_g_cm3,E_keV,N_injected,N_uncollided,N_trans_total,T_counts,mu_counts_per_mm,mu_counts_cm2_g,mu_calc_per_mm,mu_calc_cm2_g,mu_tr_per_mm,mu_tr_cm2_g,mu_ref_cm2_g,mu_en_ref_cm2_g,delta_mu_percent,delta_mu_en_percent,sigma_T_counts,sigma_mu_counts_cm2_g,mu_en_cpe_per_mm,mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,absorbed_fraction,mu_en_per_mm,mu_en_cm2_g,mu_en_raw_per_mm,mu_en_raw_cm2_g,mu_eff_per_mm,mu_eff_cm2_g,E_trans_unc_keV,E_trans_tot_keV,E_abs_keV,T_energy_tot,score_mu,score_muen,score
198,50.0,500.0,0.0,19.3,1.0,200000.0,5724.0,5724.0,0.02862,7107.2990097,3682.538347,7095.5433749,3676.4473445,7086.3645094,3671.6914557,3683.0,3671.0,-0.012534699678,-97.675659743,0.00037283304306,13.499492839,7084.1419127,3670.5398512,-0.012534699678,0.08234010225,7084.1419127,3670.5398512,164.6802045,85.326530829,171.85687752,89.04501426,5724.0,5724.0,16468.02045,0.02862,0.012534699678,0.012534699678,0.012534699678
151,50.0,500.0,50.0,19.3,1.5,200000.0,41166.0,41166.0,0.20583,3161.4093872,1638.0359519,3158.1686351,1636.3568057,3151.2090493,1632.7508027,1643.0,1632.0,-0.3021331757,-96.701037827,0.00090405755099,4.551558097,3140.2435301,1627.0691866,-0.3021331757,0.051954695467,3140.2435301,1627.0691866,103.90939093,53.83906266,106.70597655,55.288070753,61749.0,61749.0,15586.40864,0.20583,0.3021331757,0.3021331757,0.3021331757
265,50.0,1000.0,50.0,19.3,1.58,200000.0,11580.0,11580.0,0.0579,2849.0378944,1476.1854375,2832.6316048,1467.6847693,2826.3604092,1464.4354452,1504.5782665,1493.5782665,-1.8870955151,-97.936564782,0.00052224319048,4.6734426023,2828.2085248,1465.393018,-1.8870955151,0.059480708513,2828.2085248,1465.393018,59.480708513,30.819019955,61.323118503,31.77363653,18296.4,18296.4,18795.90389,0.0579,1.8870955151,1.8870955151,1.8870955151
2,50.0,100.0,50.0,19.3,1.8092,200000.0,161578.0,161578.0,0.80789,2133.2936834,1105.3335147,2120.0729433,1098.4833903,2117.8049743,1097.3082768,1108.0000001,1097.0000001,-0.240657528,-94.758363924,0.00088091925822,5.6497152931,2112.114775,1094.3599871,-0.240657528,0.011097644318,2112.114775,1094.3599871,110.97644318,57.500747761,111.59682585,57.822189561,292326.9176,292326.9176,4015.57162,0.80789,0.240657528,0.240657528,0.240657528
103,50.0,250.0,50.0,19.3,1.84014,200000.0,44916.0,44916.0,0.22458,5974.0931514,3095.3850525,5977.3900652,3097.0932981,5972.8395971,3094.7355426,1911.0000003,1883.0000002,61.977239775,-93.39054511,0.00093312331339,8.6113381792,5886.560651,3050.0314254,61.977239775,0.060050037171,5886.560651,3050.0314254,240.20014868,124.45603559,247.71454467,128.34950501,82651.72824,82651.72824,22100.09508,0.22458,61.977239775,61.977239775,61.977239775
4,50.0,100.0,50.0,19.3,1.8716,200000.0,111855.0,111855.0,0.559275,5811.1397688,3010.9532481,5826.7014655,3019.0163033,5820.881776,3016.0009202,2901.0,2853.0,3.7901843536,-93.898077707,0.001110149707,10.284870628,5714.9885421,2961.1339596,3.7901843536,0.033598953703,5714.9885421,2961.1339596,335.98953703,174.08784302,341.76369127,177.07963278,209347.818,209347.818,12576.76035,0.559275,3.7901843536,3.7901843536,3.7901843536
155,50.0,500.0,50.0,19.3,2.0,200000.0,4995.0,4995.0,0.024975,7379.7599089,3823.7097974,7356.9012379,3811.8659264,7346.2237729,3806.3335611,3922.0,3853.0,-2.5061244932,-97.246693709,0.00034893587788,14.478141473,7249.9273149,3756.4390233,-2.5061244932,0.1023719202,7249.9273149,3756.4390233,204.7438404,106.0848914,215.99892301,111.91654042,9990.0,9990.0,40948.76808,0.024975,2.5061244932,2.5061244932,2.5061244932
56,50.0,150.0,50.0,19.3,2.281,200000.0,87994.0,87994.0,0.43997,5473.6582414,2836.0923531,5465.5685551,2831.9008058,5453.1146777,2825.4480195,2828.0,2781.0,0.2861510978,-93.491502951,0.0011099468435,8.7142606916,5382.6886738,2788.957862,0.2861510978,0.052399877203,5382.6886738,2788.957862,349.33251469,181.00130295,358.8178474,185.91598311,200714.314,200714.314,23904.82398,0.43997,0.2861510978,0.2861510978,0.2861510978
57,50.0,150.0,50.0,19.3,2.4235,200000.0,87989.0,87989.0,0.439945,5474.0370659,2836.2886352,5478.0749163,2838.3807857,5463.5223595,2830.8406008,2833.0,2786.0,0.11608313432,-92.708111101,0.0011099400817,8.714702791,5383.2217669,2789.2340761,0.11608313432,0.058812511161,5383.2217669,2789.2340761,392.08340774,203.15202474,404.08609996,209.37103625,213241.3415,213241.3415,28506.42416,0.439945,0.11608313432,0.11608313432,0.11608313432
200,50.0,500.0,50.0,19.3,2.51,200000.0,16111.0,16111.0,0.080555,5037.6301961,2610.1710861,5040.6479956,2611.7347127,5025.8994005,2604.0929536,2611.322325,2569.4643329,-0.044086436151,-96.189543735,0.00060854700712,7.8284235644,4956.879887,2568.3315477,-0.044086436151,0.094481523646,4956.879887,2568.3315477,188.96304729,97.908314659,198.49519456,102.84725107,40438.61,40438.61,47429.72487,0.080555,0.044086436151,0.044086436151,0.044086436151
8,50.0,100.0,50.0,19.3,2.5749,200000.0,124782.0,124782.0,0.62391,4717.4915178,2444.2961232,4741.3954507,2456.6815807,4726.5289762,2448.9787441,2445.0,2407.0,-0.028788415426,-91.900268181,0.0010831581415,8.995237053,4644.1726313,2406.3070628,-0.028788415426,0.03762738516,4644.1726313,2406.3070628,376.2738516,194.96054487,383.53569798,198.72315957,321301.1718,321301.1718,19377.35081,0.62391,0.028788415426,0.028788415426,0.028788415426
59,50.0,150.0,50.0,19.3,2.69447,200000.0,101587.0,101587.0,0.507935,4516.011949,2339.9025642,4523.5839988,2343.8259061,4508.2046669,2335.8573404,2339.0,2301.0,0.03858761154,-92.582307521,0.0011178931876,7.6022754642,4442.6436488,2301.8879009,0.03858761154,0.049412179594,4442.6436488,2301.8879009,329.41453063,170.68110395,337.83151611,175.04223633,273723.12389,273723.12389,26627.92711,0.507935,0.03858761154,0.03858761154,0.03858761154
60,50.0,150.0,50.0,19.3,2.8196,200000.0,108656.0,108656.0,0.54328,4067.5362545,2107.5317381,4065.1131877,2106.2762631,4049.4463097,2098.1587097,2104.0,2071.0,0.16785827425,-92.639667144,0.001113837604,7.0818967446,4003.7393456,2074.4763449,0.16785827425,0.044129206856,4003.7393456,2074.4763449,294.19471237,152.43249346,300.88352453,155.89819924,306366.4576,306366.4576,24885.34233,0.54328,0.16785827425,0.16785827425,0.16785827425
161,50.0,500.0,50.0,19.3,3.0,200000.0,31837.0,31837.0,0.159185,3675.3764622,1904.3401359,3671.2735054,1902.2142515,3655.1812526,1893.8762967,1902.0,1873.0,0.12303553464,-95.424753779,0.00081806214854,5.3254565218,3619.3375992,1875.3044556,0.12303553464,0.082695059067,3619.3375992,1875.3044556,165.39011813,85.694361727,172.63064019,89.445927558,95511.0,95511.0,49617.03544,0.159185,0.12303553464,0.12303553464,0.12303553464
399,50.0,2000.0,0.0,19.3,3.98,200000.0,4717.0,4717.0,0.023585,1873.5721811,970.76278815,1869.1109663,968.4512779,1853.7628259,960.49887354,975.31200001,959.15000001,-0.46643657236,-97.89568723,0.00033932836438,3.7273225648,1842.5250151,954.67617363,-0.46643657236,0.07790837152,1842.5250151,954.67617363,38.95418576,20.183515938,40.555340117,21.013129594,18773.66,18773.66,62015.06373,0.023585,0.46643657236,0.46643657236,0.46643657236
112,50.0,250.0,50.0,19.3,4.0,200000.0,126122.0,126122.0,0.63061,1844.2706963,955.58067168,1846.0545103,956.50492764,1830.7421532,948.57106384,956.4,940.5,-0.08566795472,-93.534574906,0.0010792150571,3.5469071919,1813.6099853,939.69429288,-0.08566795472,0.02933953335,1813.6099853,939.69429288,117.3581334,60.807323005,119.11418294,61.717193231,504488.0,504488.0,23471.62668,0.63061,0.08566795472,0.08566795472,0.08566795472
213,50.0,1000.0,50.0,19.3,5.0,200000.0,68732.0,68732.0,0.34366,1068.1024825,553.42097537,1066.8909847,552.79325632,1053.4272471,545.81722645,553.4,542.3,0.0037902725013,-95.830325556,0.0010619741155,1.6011338407,1046.6786705,542.32055465,0.0037902725013,0.0436414389,1046.6786705,542.32055465,43.6414389,22.612144508,44.622372338,23.120400175,343660.0,343660.0,43641.4389,0.34366,0.0037902725013,0.0037902725013,0.0037902725013
214,50.0,1000.0,50.0,19.3,6.0,200000.0,101687.0,101687.0,0.508435,676.41789861,350.47559513,677.28519123,350.92496955,665.59548169,344.86812523,351.4,342.8,-0.263063423,-95.733341746,0.0011178748829,1.1392012428,659.86356187,341.89821859,-0.263063423,0.028228381675,659.86356187,341.89821859,28.228381675,14.626104495,28.6344627,14.836509171,610122.0,610122.0,33874.05801,0.508435,0.263063423,0.263063423,0.263063423
400,50.0,2000.0,50.0,19.3,6.31,200000.0,60243.0,60243.0,0.301215,599.96549175,310.86294909,596.58958724,309.11377577,585.39839684,303.31523152,323.3605,315.1325,-3.8648971992,-96.808490995,0.0010258765125,0.88233028642,584.69919897,302.95295283,-3.8648971992,0.038821880967,584.69919897,302.95295283,19.410940483,10.057482116,19.797769799,10.257911813,380133.33,380133.33,48993.21378,0.301215,3.8648971992,3.8648971992,3.8648971992
15,50.0,100.0,50.0,19.3,8.0,200000.0,193518.0,193518.0,0.96759,329.46835149,170.70899041,327.10551634,169.48472349,318.47714668,165.01406564,170.5,164.3,0.12257501998,-95.540100016,0.00039597722094,2.1204181991,317.48768416,164.50139076,0.12257501998,0.001414229825,317.48768416,164.50139076,14.14229825,7.3276156736,14.152307918,7.3328020302,1548144.0,1548144.0,2262.76772,0.96759,0.12257501998,0.12257501998,0.12257501998
