world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,100.0,50.0,1.0,3675.3767007,3683.0,-7.623299299999871,-0.20698613358674645,3663.401539,3671.0,-7.598461000000043,-0.2069861345682387,224.8328114,-3446.1671886,-93.87543417597385,229.85673912
100.0,100.0,50.0,1.0,3675.3767007,3683.0,-7.623299299999871,-0.20698613358674645,3663.401539,3671.0,-7.598461000000043,-0.2069861345682387,224.8328114,-3446.1671886,-93.87543417597385,229.85673912
100.0,100.0,50.0,1.0,3675.3767007,3683.0,-7.623299299999871,-0.20698613358674645,3663.401539,3671.0,-7.598461000000043,-0.2069861345682387,224.8328114,-3446.1671886,-93.87543417597385,229.85673912
50.0,100.0,50.0,1.0,3675.3767007,3683.0,-7.623299299999871,-0.20698613358674645,3663.401539,3671.0,-7.598461000000043,-0.2069861345682387,224.8328114,-3446.1671886,-93.87543417597385,229.85673912
50.0,100.0,50.0,1.5,1625.5177697,1643.0,-17.482230300000083,-1.064043231892884,1614.6348144,1632.0,-17.365185599999904,-1.0640432352941118,91.576861313,-1540.4231386870001,-94.38867271366422,92.395805214
100.0,100.0,50.0,1.5,1625.5177697,1643.0,-17.482230300000083,-1.064043231892884,1614.6348144,1632.0,-17.365185599999904,-1.0640432352941118,91.576861313,-1540.4231386870001,-94.38867271366422,92.395805214
100.0,100.0,50.0,1.8092,1105.3335147,1108.0000001,-2.666485400000056,-0.24065752705409732,1094.3599871,1097.0000001,-2.640013000000181,-0.24065752048856182,57.500747761,-1039.4992523390001,-94.75836392381419,57.822189561
50.0,100.0,50.0,1.8092,1105.3335147,1108.0000001,-2.666485400000056,-0.24065752705409732,1094.3599871,1097.0000001,-2.640013000000181,-0.24065752048856182,57.500747761,-1039.4992523390001,-94.75836392381419,57.822189561
50.0,100.0,50.0,1.84014,3103.9167107,1911.0000003,1192.9167103999998,62.42368970239293,3058.4380775,1883.0000002,1175.4380773,62.42368970659334,181.07907776,-1701.92092244,-90.38347967388385,184.31898746
100.0,100.0,50.0,1.84014,3103.9167107,1911.0000003,1192.9167103999998,62.42368970239293,3058.4380775,1883.0000002,1175.4380773,62.42368970659334,181.07907776,-1701.92092244,-90.38347967388385,184.31898746
100.0,100.0,50.0,1.8716,3010.9532481,2901.0,109.95324810000011,3.790184353671152,2961.1339596,2853.0,108.1339595999998,3.790184353312296,174.08784302,-2678.91215698,-93.89807770697512,177.07963278
50.0,100.0,50.0,1.8716,3010.9532481,2901.0,109.95324810000011,3.790184353671152,2961.1339596,2853.0,108.1339595999998,3.790184353312296,174.08784302,-2678.91215698,-93.89807770697512,177.07963278
