world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,150.0,0.0,1.0,3669.2789351,3683.0,-13.721064899999874,-0.3725513141460731,3657.3236412,3671.0,-13.676358799999889,-0.37255131571778505,191.78317029,-3479.21682971,-94.7757240454917,197.31284098
100.0,150.0,0.0,1.0,3669.2789351,3683.0,-13.721064899999874,-0.3725513141460731,3657.3236412,3671.0,-13.676358799999889,-0.37255131571778505,191.78317029,-3479.21682971,-94.7757240454917,197.31284098
100.0,150.0,0.0,10.0,95.682661977,96.91,-1.2273380230000015,-1.2664720080487066,90.874339164,92.04,-1.1656608360000007,-1.2664720078226865,3.3255168739,-88.7144831261,-96.3868786680791,3.3271187014
50.0,150.0,0.0,10.0,95.682661977,96.91,-1.2273380230000015,-1.2664720080487066,90.874339164,92.04,-1.1656608360000007,-1.2664720078226865,3.3255168739,-88.7144831261,-96.3868786680791,3.3271187014
100.0,150.0,0.0,20.0,65.557742998,65.73,-0.17225700200000915,-0.26206755210711874,56.820700115,56.97,-0.1492998849999978,-0.26206755309811797,5.3657388083,-51.6042611917,-90.58146602018607,5.3699106486
50.0,150.0,0.0,20.0,65.557742998,65.73,-0.17225700200000915,-0.26206755210711874,56.820700115,56.97,-0.1492998849999978,-0.26206755309811797,5.3657388083,-51.6042611917,-90.58146602018607,5.3699106486
50.0,150.0,0.0,30.0,22.160744765,22.73,-0.569255235,-2.504422503299604,19.41136948,19.91,-0.49863051999999897,-2.5044225012556454,1.4629878238,-18.4470121762,-92.65199485786037,1.4632977246
100.0,150.0,0.0,30.0,22.160744765,22.73,-0.569255235,-2.504422503299604,19.41136948,19.91,-0.49863051999999897,-2.5044225012556454,1.4629878238,-18.4470121762,-92.65199485786037,1.4632977246
100.0,150.0,0.0,40.0,10.516857293,10.67,-0.15314270700000066,-1.435264358013127,9.107381573,9.24,-0.1326184270000006,-1.4352643614718679,0.60043085492,-8.63956914508,-93.50183057445886,0.60048304584
50.0,150.0,0.0,40.0,10.516857293,10.67,-0.15314270700000066,-1.435264358013127,9.107381573,9.24,-0.1326184270000006,-1.4352643614718679,0.60043085492,-8.63956914508,-93.50183057445886,0.60048304584
100.0,150.0,0.0,50.0,5.6695898864,5.949,-0.2794101136,-4.696757666834762,4.8128137379,5.05,-0.23718626209999982,-4.6967576653465315,0.24831732297,-4.80168267703,-95.08282528772277,0.2483262489
50.0,150.0,0.0,50.0,5.6695898864,5.949,-0.2794101136,-4.696757666834762,4.8128137379,5.05,-0.23718626209999982,-4.6967576653465315,0.24831732297,-4.80168267703,-95.08282528772277,0.2483262489
100.0,150.0,0.0,60.0,3.3522305853,3.713,-0.3607694147,-9.716386067869648,2.7717069477,3.07,-0.29829305230000003,-9.71638606840391,0.15965597294,-2.91034402706,-94.79947970879479,0.15965966274
50.0,150.0,0.0,60.0,3.3522305853,3.713,-0.3607694147,-9.716386067869648,2.7717069477,3.07,-0.29829305230000003,-9.71638606840391,0.15965597294,-2.91034402706,-94.79947970879479,0.15965966274
50.0,150.0,0.0,80.0,8.1789327449,7.81,0.3689327449000013,4.7238507669654455,3.0149996636,2.879,0.13599966359999982,4.723850767627642,0.12322268567,-2.75577731433,-95.71994839631816,0.12322488358
100.0,150.0,0.0,80.0,8.1789327449,7.81,0.3689327449000013,4.7238507669654455,3.0149996636,2.879,0.13599966359999982,4.723850767627642,0.12322268567,-2.75577731433,-95.71994839631816,0.12322488358
50.0,150.0,0.0,100.0,4.5971856131,4.438,0.1591856131,3.5868772667868414,2.1753244226,2.1,0.07532442260000005,3.5868772666666686,0.057202827288,-2.042797172712,-97.27605584342857,0.057203300939
100.0,150.0,0.0,100.0,4.5971856131,4.438,0.1591856131,3.5868772667868414,2.1753244226,2.1,0.07532442260000005,3.5868772666666686,0.057202827288,-2.042797172712,-97.27605584342857,0.057203300939
100.0,150.0,0.0,150.0,1.7448274799,1.581,0.16382747990000013,10.362269443390268,1.0349773629,0.9378,0.09717736290000012,10.362269449776084,0.012095180196,-0.925704819804,-98.710260162508,0.012095201372
50.0,150.0,0.0,150.0,1.7448274799,1.581,0.16382747990000013,10.362269443390268,1.0349773629,0.9378,0.09717736290000012,10.362269449776084,0.012095180196,-0.925704819804,-98.710260162508,0.012095201372
100.0,150.0,0.0,200.0,1.0018723942,0.7844,0.21747239420000009,27.72468054563999,0.62751135554,0.4913,0.13621135554000002,27.724680549562393,0.003016283247,-0.48828371675300003,-99.38606080867088,0.0030162845639
50.0,150.0,0.0,200.0,1.0018723942,0.7844,0.21747239420000009,27.72468054563999,0.62751135554,0.4913,0.13621135554000002,27.724680549562393,0.003016283247,-0.48828371675300003,-99.38606080867088,0.0030162845639
100.0,150.0,0.0,300.0,0.32816757439,0.3238,0.0043675743900000175,1.348849410129715,0.19996127989,0.1973,0.0026612798900000068,1.3488494120628518,0.0011042607945,-0.1961957392055,-99.44031383958439,0.001104260971
50.0,150.0,0.0,300.0,0.32816757439,0.3238,0.0043675743900000175,1.348849410129715,0.19996127989,0.1973,0.0026612798900000068,1.3488494120628518,0.0011042607945,-0.1961957392055,-99.44031383958439,0.001104260971
100.0,150.0,0.0,500.0,0.1381720208,0.1378,0.0003720207999999836,0.26997155297531467,0.074600858835,0.0744,0.00020085883500001178,0.26997155241937065,4.8964766839e-05,-0.074351035233161,-99.93418714134545,4.8964767341e-05
50.0,150.0,0.0,500.0,0.1381720208,0.1378,0.0003720207999999836,0.26997155297531467,0.074600858835,0.0744,0.00020085883500001178,0.26997155241937065,4.8964766839e-05,-0.074351035233161,-99.93418714134545,4.8964767341e-05
100.0,150.0,0.0,1000.0,0.051813860107,0.06618,-0.014366139893,-21.707675873375642,0.025648565384,0.03276,-0.007111434615999997,-21.707675873015866,5.1732297064e-06,-0.0327548267702936,-99.98420870052992,5.1732297241e-06
50.0,150.0,0.0,1000.0,0.051813860107,0.06618,-0.014366139893,-21.707675873375642,0.025648565384,0.03276,-0.007111434615999997,-21.707675873015866,5.1732297064e-06,-0.0327548267702936,-99.98420870052992,5.1732297241e-06
100.0,150.0,0.0,1500.0,0.034542487048,0.05,-0.015457512952,-30.915025904,0.017160707565,0.02484,-0.007679292435000002,-30.915025905797112,1.1299942429e-06,-0.024838870005757102,-99.995450908845,1.1299941986e-06
50.0,150.0,0.0,1500.0,0.034542487048,0.05,-0.015457512952,-30.915025904,0.017160707565,0.02484,-0.007679292435000002,-30.915025905797112,1.1299942429e-06,-0.024838870005757102,-99.995450908845,1.1299941986e-06
50.0,150.0,0.0,2000.0,3.4542313375e-06,0.04433,-0.044326545768662504,-99.99220791487143,1.757894405e-06,0.02256,-0.022558242105595,-99.99220791487146,0.0,-0.02256,-100.0,0.0
100.0,150.0,0.0,2000.0,3.4542313375e-06,0.04433,-0.044326545768662504,-99.99220791487143,1.757894405e-06,0.02256,-0.022558242105595,-99.99220791487146,0.0,-0.02256,-100.0,0.0
50.0,150.0,0.0,5000.0,0.017271200346,0.04103,-0.023758799653999997,-57.90592165244942,0.010565613665,0.0251,-0.014534386335000002,-57.90592165338646,6.8580310881e-07,-0.025099314196891192,-99.99726771669796,6.8580297847e-07
100.0,150.0,0.0,5000.0,0.017271200346,0.04103,-0.023758799653999997,-57.90592165244942,0.010565613665,0.0251,-0.014534386335000002,-57.90592165338646,6.8580310881e-07,-0.025099314196891192,-99.99726771669796,6.8580297847e-07
100.0,150.0,0.0,10000.0,0.051813860107,0.04747,0.004343860107000004,9.150748066147049,0.033531109806,0.03072,0.0028111098059999985,9.150748066406244,2.1625803109e-05,-0.030698374196891,-99.92960350550456,2.1625803116e-05
50.0,150.0,0.0,10000.0,0.051813860107,0.04747,0.004343860107000004,9.150748066147049,0.033531109806,0.03072,0.0028111098059999985,9.150748066406244,2.1625803109e-05,-0.030698374196891,-99.92960350550456,2.1625803116e-05
